-32.4,-36.6,-42.7,-45.5,-54.9,-62.8,-65.4,-66.6
-33.4,-37.6,-43.7,-46.3,-55.9,-63.7,-66.2,-67.4
-34.1,-38.4,-44.5,-47.3,-56.8,-64.7,-66.9,-68.2
-34.8,-39.3,-45.3,-48.2,-57.8,-65.7,-67.7,-68.9
-35.7,-40,-46.1,-49.1,-58.7,-66.6,-68.6,-69.7
-36.9,-40.9,-46.9,-49.9,-59.9,-67.1,-69,-70
-38.1,-41.7,-47.9,-50.7,-60.6,-68.4,-70.2,-71.3
-39.4,-42.7,-48.7,-51.6,-61.6,-69.2,-70.9,-72
-40.1,-44.1,-49.9,-52.9,-63,-70.1,-71.9,-72.9
-50,-54,-60,-63,-73,-80,-82,-83
-60,-64,-70,-73,-83,-90,-92,-93
-70,-74,-80,-83,-93,-100,-102,-103
-80,-84,-90,-93,-103,-110,-112,-113
-86,-90,-96,-99,-109,-116,-118,-119
-322.4,-318,-305.5,-300.4,-280.7,-257.2,-255,-250.1
